_id,Timeseries,Prov,OCCUPATION,Labour force,Employed,Unemployed,Unemployment rate
29,1987,New Brunswick,"Total, all occupations - All skills level",323,280.3,42.7,13.2
30,1987,New Brunswick, Management,23.4,22.4,1,4.3
31,1987,New Brunswick,Professional: occupations usually require university education,34.5,33.4,1.1,3.2
32,1987,New Brunswick,NOC skill level B: occupations usually require college education or apprenticeship training,101.6,91.6,10.1,9.9
33,1987,New Brunswick,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,106.7,93.6,13,12.2
34,1987,New Brunswick,NOC skill level D: on-the-job training is usually provided for these occupations,48,39.3,8.8,18.3
35,1987,New Brunswick, Unclassified,8.7,0,8.7,100
36,1987,Quebec,"Total, all occupations - All skills level",3363.9,3022.1,341.8,10.2
37,1987,Quebec, Management,302.6,291.1,11.4,3.8
38,1987,Quebec,Professional: occupations usually require university education,434.4,417.8,16.6,3.8
39,1987,Quebec,NOC skill level B: occupations usually require college education or apprenticeship training,1082.5,1009.3,73.2,6.8
40,1987,Quebec,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,1072.4,980.3,92.2,8.6
41,1987,Quebec,NOC skill level D: on-the-job training is usually provided for these occupations,372.8,323.7,49.1,13.2
42,1987,Quebec, Unclassified,99.3,0,99.3,100
43,1987,Ontario,"Total, all occupations - All skills level",5213.6,4895.6,318,6.1
44,1987,Ontario, Management,513.6,501.4,12.2,2.4
45,1987,Ontario,Professional: occupations usually require university education,651.1,634.7,16.4,2.5
46,1987,Ontario,NOC skill level B: occupations usually require college education or apprenticeship training,1655.1,1585.4,69.7,4.2
47,1987,Ontario,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,1712.1,1611,101,5.9
48,1987,Ontario,NOC skill level D: on-the-job training is usually provided for these occupations,619.8,563.1,56.7,9.1
49,1987,Ontario, Unclassified,62,0,62,100
50,1987,Manitoba,"Total, all occupations - All skills level",545.9,505.2,40.7,7.5
51,1987,Manitoba, Management,70.6,69.2,1.4,2
52,1987,Manitoba,Professional: occupations usually require university education,60.7,59.3,1.5,2.5
53,1987,Manitoba,NOC skill level B: occupations usually require college education or apprenticeship training,167.2,157.6,9.7,5.8
54,1987,Manitoba,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,177.5,165,12.5,7
55,1987,Manitoba,NOC skill level D: on-the-job training is usually provided for these occupations,60.2,54.2,6,10
56,1987,Manitoba, Unclassified,9.6,0,9.6,100
57,1987,Saskatchewan,"Total, all occupations - All skills level",498.5,461.9,36.6,7.3
58,1987,Saskatchewan, Management,100.1,98.7,1.4,1.4
59,1987,Saskatchewan,Professional: occupations usually require university education,51.3,49.5,1.8,3.5
60,1987,Saskatchewan,NOC skill level B: occupations usually require college education or apprenticeship training,141.6,132.9,8.6,6.1
61,1987,Saskatchewan,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,145.7,135.4,10.3,7.1
62,1987,Saskatchewan,NOC skill level D: on-the-job training is usually provided for these occupations,51.1,45.4,5.7,11.2
63,1987,Saskatchewan, Unclassified,8.8,0,8.8,100
64,1987,Alberta,"Total, all occupations - All skills level",1313.8,1187.7,126.2,9.6
65,1987,Alberta, Management,155.9,151.8,4.2,2.7
66,1987,Alberta,Professional: occupations usually require university education,175.6,169.7,5.9,3.4
67,1987,Alberta,NOC skill level B: occupations usually require college education or apprenticeship training,426.6,392.7,34,8
68,1987,Alberta,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,387.3,354.2,33.1,8.5
69,1987,Alberta,NOC skill level D: on-the-job training is usually provided for these occupations,140.5,119.3,21.1,15
70,1987,Alberta, Unclassified,27.9,0,27.9,100
71,1987,British Columbia,"Total, all occupations - All skills level",1566.8,1377.7,189.2,12.1
72,1987,British Columbia, Management,148,141.6,6.4,4.3
73,1987,British Columbia,Professional: occupations usually require university education,183.2,175.5,7.7,4.2
74,1987,British Columbia,NOC skill level B: occupations usually require college education or apprenticeship training,504.1,463.6,40.4,8
75,1987,British Columbia,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,488.2,434.6,53.6,11
76,1987,British Columbia,NOC skill level D: on-the-job training is usually provided for these occupations,189.9,162.3,27.7,14.6
77,1987,British Columbia, Unclassified,53.4,0,53.4,100
78,1988,Canada,"Total, all occupations - All skills level",13779.1,12709.6,1069.5,7.8
79,1988,Canada, Management,1462.5,1422.9,39.6,2.7
80,1988,Canada,Professional: occupations usually require university education,1736.5,1685.7,50.8,2.9
81,1988,Canada,NOC skill level B: occupations usually require college education or apprenticeship training,4353.4,4111,242.4,5.6
82,1988,Canada,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,4364.8,4037,327.8,7.5
83,1988,Canada,NOC skill level D: on-the-job training is usually provided for these occupations,1628.8,1453,175.8,10.8
84,1988,Canada, Unclassified,233.2,-,233.2,100
85,1988,Newfoundland and Labrador,"Total, all occupations - All skills level",238.2,199.7,38.5,16.2
86,1988,Newfoundland and Labrador, Management,15.9,15.3,0.6,3.8
87,1988,Newfoundland and Labrador,Professional: occupations usually require university education,27.4,26.4,1,3.6
88,1988,Newfoundland and Labrador,NOC skill level B: occupations usually require college education or apprenticeship training,76.8,68.1,8.7,11.3
89,1988,Newfoundland and Labrador,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,73.6,61,12.6,17.1
90,1988,Newfoundland and Labrador,NOC skill level D: on-the-job training is usually provided for these occupations,37.2,28.8,8.4,22.6
91,1988,Newfoundland and Labrador, Unclassified,7.3,-,7.3,100
92,1988,Prince Edward Island,"Total, all occupations - All skills level",62.2,54.6,7.6,12.2
93,1988,Prince Edward Island, Management,8,7.7,0.3,3.8
94,1988,Prince Edward Island,Professional: occupations usually require university education,5.3,5,0.2,3.8
95,1988,Prince Edward Island,NOC skill level B: occupations usually require college education or apprenticeship training,19.4,17.6,1.8,9.3
96,1988,Prince Edward Island,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,19.8,17.1,2.7,13.6
97,1988,Prince Edward Island,NOC skill level D: on-the-job training is usually provided for these occupations,8.8,7.1,1.7,19.3
98,1988,Prince Edward Island, Unclassified,0.9,-,0.9,100
99,1988,Nova Scotia,"Total, all occupations - All skills level",416,373.7,42.3,10.2
100,1988,Nova Scotia, Management,37.1,35.6,1.6,4.3
101,1988,Nova Scotia,Professional: occupations usually require university education,49.1,47.7,1.5,3.1
102,1988,Nova Scotia,NOC skill level B: occupations usually require college education or apprenticeship training,133.8,123,10.8,8.1
103,1988,Nova Scotia,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,132,119.5,12.4,9.4
104,1988,Nova Scotia,NOC skill level D: on-the-job training is usually provided for these occupations,55.9,47.9,8,14.3
105,1988,Nova Scotia, Unclassified,8,-,8,100
106,1988,New Brunswick,"Total, all occupations - All skills level",329.8,291,38.8,11.8
107,1988,New Brunswick, Management,26,25.3,0.7,2.7
108,1988,New Brunswick,Professional: occupations usually require university education,34.8,33.6,1.1,3.2
109,1988,New Brunswick,NOC skill level B: occupations usually require college education or apprenticeship training,110.7,101.2,9.5,8.6
110,1988,New Brunswick,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,103.1,90.6,12.5,12.1
111,1988,New Brunswick,NOC skill level D: on-the-job training is usually provided for these occupations,48.2,40.3,7.9,16.4
112,1988,New Brunswick, Unclassified,7.1,-,7.1,100
113,1988,Quebec,"Total, all occupations - All skills level",3404.6,3081.4,323.1,9.5
114,1988,Quebec, Management,318.4,305.8,12.6,4
115,1988,Quebec,Professional: occupations usually require university education,427.8,412.2,15.7,3.7
116,1988,Quebec,NOC skill level B: occupations usually require college education or apprenticeship training,1096.6,1023.9,72.8,6.6
117,1988,Quebec,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,1086.8,993.8,93,8.6
118,1988,Quebec,NOC skill level D: on-the-job training is usually provided for these occupations,393.4,345.7,47.6,12.1
119,1988,Quebec, Unclassified,81.5,-,81.5,100
120,1988,Ontario,"Total, all occupations - All skills level",5352.5,5083.1,269.3,5
121,1988,Ontario, Management,566.4,556.1,10.3,1.8
122,1988,Ontario,Professional: occupations usually require university education,704.1,688.4,15.7,2.2
123,1988,Ontario,NOC skill level B: occupations usually require college education or apprenticeship training,1668.2,1607.4,60.8,3.6
124,1988,Ontario,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,1730.5,1641.3,89.3,5.2
125,1988,Ontario,NOC skill level D: on-the-job training is usually provided for these occupations,636.1,590,46.2,7.3
126,1988,Ontario, Unclassified,47.1,-,47.1,100
127,1988,Manitoba,"Total, all occupations - All skills level",548.7,506.3,42.4,7.7
128,1988,Manitoba, Management,71.7,69.9,1.8,2.5
129,1988,Manitoba,Professional: occupations usually require university education,61.7,60.2,1.5,2.4
130,1988,Manitoba,NOC skill level B: occupations usually require college education or apprenticeship training,170.1,160.5,9.6,5.6
131,1988,Manitoba,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,172.8,159.4,13.4,7.8
132,1988,Manitoba,NOC skill level D: on-the-job training is usually provided for these occupations,63.6,56.2,7.4,11.6
133,1988,Manitoba, Unclassified,8.8,-,8.8,100
134,1988,Saskatchewan,"Total, all occupations - All skills level",499.5,462.8,36.7,7.3
135,1988,Saskatchewan, Management,99.3,98,1.3,1.3
136,1988,Saskatchewan,Professional: occupations usually require university education,51.9,50.6,1.3,2.5
137,1988,Saskatchewan,NOC skill level B: occupations usually require college education or apprenticeship training,139.8,131.5,8.3,5.9
138,1988,Saskatchewan,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,145.6,135.4,10.2,7
139,1988,Saskatchewan,NOC skill level D: on-the-job training is usually provided for these occupations,53.6,47.3,6.3,11.8
140,1988,Saskatchewan, Unclassified,9.3,-,9.3,100
141,1988,Alberta,"Total, all occupations - All skills level",1328.9,1222.3,106.6,8
142,1988,Alberta, Management,168.4,164.2,4.2,2.5
143,1988,Alberta,Professional: occupations usually require university education,176,170.5,5.6,3.2
144,1988,Alberta,NOC skill level B: occupations usually require college education or apprenticeship training,435,408.3,26.7,6.1
145,1988,Alberta,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,382,352.9,29.1,7.6
146,1988,Alberta,NOC skill level D: on-the-job training is usually provided for these occupations,144.6,126.5,18.2,12.6
147,1988,Alberta, Unclassified,22.8,-,22.8,100
148,1988,British Columbia,"Total, all occupations - All skills level",1598.8,1434.6,164.2,10.3
149,1988,British Columbia, Management,151.2,145,6.3,4.2
150,1988,British Columbia,Professional: occupations usually require university education,198.4,191.1,7.3,3.7
151,1988,British Columbia,NOC skill level B: occupations usually require college education or apprenticeship training,503,469.6,33.4,6.6
152,1988,British Columbia,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,518.5,465.9,52.6,10.1
153,1988,British Columbia,NOC skill level D: on-the-job training is usually provided for these occupations,187.4,163.1,24.2,12.9
154,1988,British Columbia, Unclassified,40.3,-,40.3,100
155,1989,Canada,"Total, all occupations - All skills level",14057,12996.2,1060.8,7.5
156,1989,Canada, Management,1459.9,1418.9,41,2.8
157,1989,Canada,Professional: occupations usually require university education,1780.7,1734.4,46.3,2.6
158,1989,Canada,NOC skill level B: occupations usually require college education or apprenticeship training,4465.7,4228,237.7,5.3
159,1989,Canada,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,4391.3,4070.1,321.1,7.3
160,1989,Canada,NOC skill level D: on-the-job training is usually provided for these occupations,1736,1544.7,191.4,11
161,1989,Canada, Unclassified,223.3,-,223.3,100
162,1989,Newfoundland and Labrador,"Total, all occupations - All skills level",244.1,206.3,37.8,15.5
163,1989,Newfoundland and Labrador, Management,17.8,17.2,0.6,3.4
164,1989,Newfoundland and Labrador,Professional: occupations usually require university education,25.8,25.1,0.7,2.7
165,1989,Newfoundland and Labrador,NOC skill level B: occupations usually require college education or apprenticeship training,78.2,69,9.2,11.8
166,1989,Newfoundland and Labrador,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,76,64.1,11.8,15.5
167,1989,Newfoundland and Labrador,NOC skill level D: on-the-job training is usually provided for these occupations,40.1,30.8,9.2,22.9
168,1989,Newfoundland and Labrador, Unclassified,6.2,-,6.2,100
169,1989,Prince Edward Island,"Total, all occupations - All skills level",63.7,55,8.7,13.7
170,1989,Prince Edward Island, Management,7.5,7.3,0.2,2.7
171,1989,Prince Edward Island,Professional: occupations usually require university education,6,5.8,0.2,3.3
172,1989,Prince Edward Island,NOC skill level B: occupations usually require college education or apprenticeship training,18.8,16.8,2,10.6
173,1989,Prince Edward Island,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,20.4,16.8,3.6,17.6
174,1989,Prince Edward Island,NOC skill level D: on-the-job training is usually provided for these occupations,10.3,8.3,2,19.4
175,1989,Prince Edward Island, Unclassified,0.7,-,0.7,100
176,1989,Nova Scotia,"Total, all occupations - All skills level",423.3,381.6,41.7,9.9
177,1989,Nova Scotia, Management,36.8,35.5,1.4,3.8
178,1989,Nova Scotia,Professional: occupations usually require university education,51.6,50.1,1.5,2.9
179,1989,Nova Scotia,NOC skill level B: occupations usually require college education or apprenticeship training,137.2,126.9,10.3,7.5
180,1989,Nova Scotia,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,130.7,117.3,13.4,10.3
181,1989,Nova Scotia,NOC skill level D: on-the-job training is usually provided for these occupations,59.8,51.9,8,13.4
182,1989,Nova Scotia, Unclassified,7.2,-,7.2,100
183,1989,New Brunswick,"Total, all occupations - All skills level",337.6,296.8,40.8,12.1
184,1989,New Brunswick, Management,27.6,26.7,0.8,2.9
185,1989,New Brunswick,Professional: occupations usually require university education,39.2,38,1.2,3.1
186,1989,New Brunswick,NOC skill level B: occupations usually require college education or apprenticeship training,105.9,96.5,9.5,9
187,1989,New Brunswick,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,106.9,93.6,13.2,12.3
188,1989,New Brunswick,NOC skill level D: on-the-job training is usually provided for these occupations,50.9,42,8.9,17.5
189,1989,New Brunswick, Unclassified,7.2,-,7.2,100
190,1989,Quebec,"Total, all occupations - All skills level",3461.2,3128.8,332.4,9.6
191,1989,Quebec, Management,329.4,316,13.4,4.1
192,1989,Quebec,Professional: occupations usually require university education,423.7,408.4,15.3,3.6
193,1989,Quebec,NOC skill level B: occupations usually require college education or apprenticeship training,1115.3,1045.7,69.6,6.2
194,1989,Quebec,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,1093.1,996.4,96.7,8.8
195,1989,Quebec,NOC skill level D: on-the-job training is usually provided for these occupations,416.2,362.2,54,13
196,1989,Quebec, Unclassified,83.5,-,83.5,100
197,1989,Ontario,"Total, all occupations - All skills level",5473,5199,274,5
198,1989,Ontario, Management,545.7,533.4,12.3,2.3
199,1989,Ontario,Professional: occupations usually require university education,731.7,720.1,11.6,1.6
200,1989,Ontario,NOC skill level B: occupations usually require college education or apprenticeship training,1710.3,1648.4,61.9,3.6
201,1989,Ontario,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,1757.6,1667.7,89.9,5.1
202,1989,Ontario,NOC skill level D: on-the-job training is usually provided for these occupations,680,629.5,50.5,7.4
203,1989,Ontario, Unclassified,47.9,-,47.9,100
204,1989,Manitoba,"Total, all occupations - All skills level",554.1,512.7,41.4,7.5
205,1989,Manitoba, Management,74,72.8,1.3,1.8
206,1989,Manitoba,Professional: occupations usually require university education,64.1,62.2,1.9,3
207,1989,Manitoba,NOC skill level B: occupations usually require college education or apprenticeship training,167.8,158.7,9.1,5.4
208,1989,Manitoba,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,172.8,160.6,12.2,7.1
209,1989,Manitoba,NOC skill level D: on-the-job training is usually provided for these occupations,65.9,58.4,7.6,11.5
210,1989,Manitoba, Unclassified,9.4,-,9.4,100
211,1989,Saskatchewan,"Total, all occupations - All skills level",492.6,456.4,36.2,7.3
212,1989,Saskatchewan, Management,96.6,95,1.7,1.8
213,1989,Saskatchewan,Professional: occupations usually require university education,53.6,52.2,1.4,2.6
214,1989,Saskatchewan,NOC skill level B: occupations usually require college education or apprenticeship training,138.2,130.2,8,5.8
215,1989,Saskatchewan,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,139,129.3,9.7,7
216,1989,Saskatchewan,NOC skill level D: on-the-job training is usually provided for these occupations,56.1,49.7,6.5,11.6
217,1989,Saskatchewan, Unclassified,8.9,-,8.9,100
218,1989,Alberta,"Total, all occupations - All skills level",1348,1251.3,96.7,7.2
219,1989,Alberta, Management,169.4,166.3,3.1,1.8
220,1989,Alberta,Professional: occupations usually require university education,180.6,175.2,5.4,3
221,1989,Alberta,NOC skill level B: occupations usually require college education or apprenticeship training,444.7,419.6,25,5.6
222,1989,Alberta,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,383,356.2,26.8,7
223,1989,Alberta,NOC skill level D: on-the-job training is usually provided for these occupations,151.2,134,17.2,11.4
224,1989,Alberta, Unclassified,19.1,-,19.1,100
225,1989,British Columbia,"Total, all occupations - All skills level",1659.3,1508.3,151,9.1
226,1989,British Columbia, Management,155,148.9,6.1,3.9
227,1989,British Columbia,Professional: occupations usually require university education,204.4,197.2,7.2,3.5
228,1989,British Columbia,NOC skill level B: occupations usually require college education or apprenticeship training,549.2,516.1,33.1,6
229,1989,British Columbia,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,511.9,468.2,43.7,8.5
230,1989,British Columbia,NOC skill level D: on-the-job training is usually provided for these occupations,205.4,178,27.4,13.3
231,1989,British Columbia, Unclassified,33.4,-,33.4,100
232,1990,Canada,"Total, all occupations - All skills level",14244.6,13086.4,1158.3,8.1
233,1990,Canada, Management,1527.9,1486.9,41,2.7
234,1990,Canada,Professional: occupations usually require university education,1878.9,1828.1,50.8,2.7
235,1990,Canada,NOC skill level B: occupations usually require college education or apprenticeship training,4515.2,4233.3,281.9,6.2
236,1990,Canada,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,4347.7,3999.2,348.5,8
237,1990,Canada,NOC skill level D: on-the-job training is usually provided for these occupations,1750.5,1539,211.5,12.1
238,1990,Canada, Unclassified,224.5,-,224.5,100
239,1990,Newfoundland and Labrador,"Total, all occupations - All skills level",249.2,206.9,42.3,17
240,1990,Newfoundland and Labrador, Management,17.6,16.9,0.7,4
241,1990,Newfoundland and Labrador,Professional: occupations usually require university education,27.3,26.5,0.8,2.9
242,1990,Newfoundland and Labrador,NOC skill level B: occupations usually require college education or apprenticeship training,81.3,71.3,10,12.3
243,1990,Newfoundland and Labrador,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,74.4,61.8,12.6,16.9
244,1990,Newfoundland and Labrador,NOC skill level D: on-the-job training is usually provided for these occupations,39.2,30.4,8.8,22.4
245,1990,Newfoundland and Labrador, Unclassified,9.3,-,9.3,100
246,1990,Prince Edward Island,"Total, all occupations - All skills level",64.4,55.1,9.3,14.4
247,1990,Prince Edward Island, Management,7.4,7.2,0.2,2.7
248,1990,Prince Edward Island,Professional: occupations usually require university education,6.2,5.9,0.3,4.8
249,1990,Prince Edward Island,NOC skill level B: occupations usually require college education or apprenticeship training,20,17.7,2.2,11
250,1990,Prince Edward Island,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,20.1,16.5,3.6,17.9
251,1990,Prince Edward Island,NOC skill level D: on-the-job training is usually provided for these occupations,10,7.7,2.3,23
252,1990,Prince Edward Island, Unclassified,0.6,-,0.6,100
253,1990,Nova Scotia,"Total, all occupations - All skills level",431.4,385.3,46.1,10.7
254,1990,Nova Scotia, Management,38.4,36.9,1.6,4.2
255,1990,Nova Scotia,Professional: occupations usually require university education,53.9,51.9,2,3.7
256,1990,Nova Scotia,NOC skill level B: occupations usually require college education or apprenticeship training,139.3,127.2,12.1,8.7
257,1990,Nova Scotia,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,132.2,118.7,13.4,10.1
258,1990,Nova Scotia,NOC skill level D: on-the-job training is usually provided for these occupations,59.3,50.6,8.6,14.5
259,1990,Nova Scotia, Unclassified,8.3,-,8.3,100
260,1990,New Brunswick,"Total, all occupations - All skills level",341.5,300.3,41.3,12.1
261,1990,New Brunswick, Management,27.6,26.5,1,3.6
262,1990,New Brunswick,Professional: occupations usually require university education,42.7,41.4,1.3,3
263,1990,New Brunswick,NOC skill level B: occupations usually require college education or apprenticeship training,109.1,98.8,10.3,9.4
264,1990,New Brunswick,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,103.4,91.1,12.3,11.9
265,1990,New Brunswick,NOC skill level D: on-the-job training is usually provided for these occupations,51.6,42.4,9.3,18
266,1990,New Brunswick, Unclassified,7.2,-,7.2,100
267,1990,Quebec,"Total, all occupations - All skills level",3505.4,3140.3,365.1,10.4
268,1990,Quebec, Management,349.9,337,12.8,3.7
269,1990,Quebec,Professional: occupations usually require university education,463.6,446.9,16.7,3.6
270,1990,Quebec,NOC skill level B: occupations usually require college education or apprenticeship training,1132.2,1042.5,89.7,7.9
271,1990,Quebec,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,1051.2,948.4,102.7,9.8
272,1990,Quebec,NOC skill level D: on-the-job training is usually provided for these occupations,425.7,365.5,60.2,14.1
273,1990,Quebec, Unclassified,82.8,-,82.8,100
274,1990,Ontario,"Total, all occupations - All skills level",5535.7,5194.1,341.5,6.2
275,1990,Ontario, Management,570.2,557.1,13.1,2.3
276,1990,Ontario,Professional: occupations usually require university education,757.1,744.1,13.1,1.7
277,1990,Ontario,NOC skill level B: occupations usually require college education or apprenticeship training,1712.8,1632.2,80.6,4.7
278,1990,Ontario,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,1747.3,1639.4,107.9,6.2
279,1990,Ontario,NOC skill level D: on-the-job training is usually provided for these occupations,689.4,621.3,68,9.9
280,1990,Ontario, Unclassified,58.9,-,58.9,100
281,1990,Manitoba,"Total, all occupations - All skills level",554.6,513.8,40.9,7.4
282,1990,Manitoba, Management,74.5,73,1.5,2
283,1990,Manitoba,Professional: occupations usually require university education,66.7,65.2,1.6,2.4
284,1990,Manitoba,NOC skill level B: occupations usually require college education or apprenticeship training,165,156.5,8.5,5.2
285,1990,Manitoba,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,175.6,161.8,13.9,7.9
286,1990,Manitoba,NOC skill level D: on-the-job training is usually provided for these occupations,64.1,57.4,6.7,10.5
287,1990,Manitoba, Unclassified,8.6,-,8.6,100
288,1990,Saskatchewan,"Total, all occupations - All skills level",488.6,454.2,34.4,7
289,1990,Saskatchewan, Management,97.6,96.2,1.5,1.5
290,1990,Saskatchewan,Professional: occupations usually require university education,53,51.6,1.4,2.6
291,1990,Saskatchewan,NOC skill level B: occupations usually require college education or apprenticeship training,134.9,127.2,7.7,5.7
292,1990,Saskatchewan,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,140.4,130.3,10.1,7.2
293,1990,Saskatchewan,NOC skill level D: on-the-job training is usually provided for these occupations,55,49,6,10.9
294,1990,Saskatchewan, Unclassified,7.6,-,7.6,100
295,1990,Alberta,"Total, all occupations - All skills level",1370.9,1276.8,94.1,6.9
296,1990,Alberta, Management,180.4,176.2,4.1,2.3
297,1990,Alberta,Professional: occupations usually require university education,193.6,187.9,5.7,2.9
298,1990,Alberta,NOC skill level B: occupations usually require college education or apprenticeship training,450.7,425.5,25.2,5.6
299,1990,Alberta,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,382.4,355.4,27,7.1
300,1990,Alberta,NOC skill level D: on-the-job training is usually provided for these occupations,148.3,131.8,16.6,11.2
301,1990,Alberta, Unclassified,15.5,-,15.5,100
302,1990,British Columbia,"Total, all occupations - All skills level",1703,1559.6,143.4,8.4
303,1990,British Columbia, Management,164.4,160,4.4,2.7
304,1990,British Columbia,Professional: occupations usually require university education,214.6,206.7,7.9,3.7
305,1990,British Columbia,NOC skill level B: occupations usually require college education or apprenticeship training,569.9,534.3,35.6,6.2
306,1990,British Columbia,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,520.7,475.7,45,8.6
307,1990,British Columbia,NOC skill level D: on-the-job training is usually provided for these occupations,207.9,182.9,25,12
308,1990,British Columbia, Unclassified,25.6,-,25.6,100
309,1991,Canada,"Total, all occupations - All skills level",14336.3,12857.4,1479,10.3
310,1991,Canada, Management,1573.8,1517.1,56.7,3.6
311,1991,Canada,Professional: occupations usually require university education,1942.4,1877,65.3,3.4
312,1991,Canada,NOC skill level B: occupations usually require college education or apprenticeship training,4507.5,4150,357.5,7.9
313,1991,Canada,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,4245.5,3821.1,424.4,10
314,1991,Canada,NOC skill level D: on-the-job training is usually provided for these occupations,1743.4,1492.2,251.2,14.4
315,1991,Canada, Unclassified,323.8,-,323.8,100
316,1991,Newfoundland and Labrador,"Total, all occupations - All skills level",249.7,204.7,45,18
317,1991,Newfoundland and Labrador, Management,18.9,17.5,1.3,6.9
318,1991,Newfoundland and Labrador,Professional: occupations usually require university education,30.1,28.9,1.3,4.3
319,1991,Newfoundland and Labrador,NOC skill level B: occupations usually require college education or apprenticeship training,80.4,70.6,9.8,12.2
320,1991,Newfoundland and Labrador,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,72.8,59.5,13.3,18.3
321,1991,Newfoundland and Labrador,NOC skill level D: on-the-job training is usually provided for these occupations,37.5,28.2,9.4,25.1
